URL,ID,Försäljningspris(SEK),Säljare,Bränsle,Växellåda,Miltal (mil),Modellår,Modell,Plats,Märke,Rubrik,Modellvariant
https://www.blocket.se/mobility/item/19197025,19197025,375000,Privat,El,Automatisk,5200,2021,2,Järfälla,Polestar,Polestar 2 Long Range Dual Motor,Long Range Dual Motor
https://www.blocket.se/mobility/item/19531568,19531568,359000,Företag,El,Automatisk,7639,2021,2,Jönköping,Polestar,Polestar 2 Long Range Dual Motor 78kWh Plus Pilot,Long Range Dual Motor 78kWh Plus Pilot
https://www.blocket.se/mobility/item/17700842,17700842,269800,Företag,El,Automatisk,15224,2021,2,Jönköping,Polestar,Polestar 2 AWD LR DM Pilot Plus Pano H/K 360 Drag 408hk,AWD LR DM Pilot Plus Pano H/K 360 Drag 408hk
https://www.blocket.se/mobility/item/19608896,19608896,359795,Företag,El,Automatisk,4950,2021,2,Jordbro,Polestar,Polestar 2 Long Range Dual Motor Harman K Pano 360-kamera Drag,Long Range Dual Motor Harman K Pano 360-kamera Drag
https://www.blocket.se/mobility/item/19563651,19563651,339000,Företag,El,Automatisk,11127,2021,2,Karlskoga,Polestar,Polestar 2 Long Range Dual Motor 78kWh Plus Pilot,Long Range Dual Motor 78kWh Plus Pilot
https://www.blocket.se/mobility/item/18553656,18553656,319000,Företag,El,Automatisk,9969,2021,2,Karlskrona,Polestar,Polestar 2 Long Range Dual Motor AWD 408 hk Pilot Plus,Long Range Dual Motor AWD 408 hk Pilot Plus
https://www.blocket.se/mobility/item/15474870,15474870,429900,Företag,El,Automatisk,6826,2021,2,Kävlinge,Polestar,"Polestar 2 Long Range Dual Motor, 408hk, Performance","Long Range Dual Motor, 408hk, Performance"
https://www.blocket.se/mobility/item/19569015,19569015,324800,Företag,El,Automatisk,9077,2021,2,Köping,Polestar,Polestar 2 Long Range Dual Motor 78kWh Plus Pilot,Long Range Dual Motor 78kWh Plus Pilot
https://www.blocket.se/mobility/item/19523335,19523335,314900,Företag,El,Automatisk,9880,2021,2,Kumla,Polestar,"Polestar 2 Long Range Dual Motor AWD 408 hk - Pilot, Plus, Drag, P","Long Range Dual Motor AWD 408 hk - Pilot, Plus, Drag, P"
https://www.blocket.se/mobility/item/18053357,18053357,299900,Företag,El,Automatisk,15217,2021,2,Kungälv,Polestar,"Polestar 2 Long Range Dual Motor Performance,*Mellandagsränta 1,99","Long Range Dual Motor Performance,*Mellandagsränta 1,99"
https://www.blocket.se/mobility/item/17910696,17910696,289900,Företag,El,Automatisk,15088,2021,2,Kungens Kurva,Polestar,Polestar 2 Long Range Dual Motor 360°kam Drag Harman&Kardon,Long Range Dual Motor 360°kam Drag Harman&Kardon
https://www.blocket.se/mobility/item/17799877,17799877,294700,Företag,El,Automatisk,12134,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR 408HK INTRO 360KAM PANO H/K,LONG RANGE DUAL MOTOR 408HK INTRO 360KAM PANO H/K
https://www.blocket.se/mobility/item/18388886,18388886,309700,Företag,El,Automatisk,12070,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR 78kWH 408HK INTRO H/K® NFC,LONG RANGE DUAL MOTOR 78kWH 408HK INTRO H/K® NFC
https://www.blocket.se/mobility/item/19390091,19390091,339700,Företag,El,Automatisk,5923,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR AWD 78 kWh 408HK DRAG 360°,LONG RANGE DUAL MOTOR AWD 78 kWh 408HK DRAG 360°
https://www.blocket.se/mobility/item/17642172,17642172,309700,Företag,El,Automatisk,10587,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE AWD 408HK 78kWh H/K® PANO 360° INTRO EDT,LONG RANGE AWD 408HK 78kWh H/K® PANO 360° INTRO EDT
https://www.blocket.se/mobility/item/19596746,19596746,299700,Företag,El,Automatisk,11757,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR 78kWh 408HK INTRO EDT H/K®,LONG RANGE DUAL MOTOR 78kWh 408HK INTRO EDT H/K®
https://www.blocket.se/mobility/item/17939249,17939249,309700,Företag,El,Automatisk,10778,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR 408HK 78kWh INTRO H/K® PANO,LONG RANGE DUAL MOTOR 408HK 78kWh INTRO H/K® PANO
https://www.blocket.se/mobility/item/18126107,18126107,309700,Företag,El,Automatisk,9821,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR AWD 408HK DRAG H/K® 360°,LONG RANGE DUAL MOTOR AWD 408HK DRAG H/K® 360°
https://www.blocket.se/mobility/item/18604073,18604073,299700,Företag,El,Automatisk,12714,2021,2,Kungsängen,Polestar,Polestar 2 LONG RANGE DUAL MOTOR 408HK 78kWh INTRO PANO H/K®,LONG RANGE DUAL MOTOR 408HK 78kWh INTRO PANO H/K®
